/Q X,/Q Y,VIN vs QB X,VIN vs QB Y
0,1.799999927418647,0.1967130841863075,0
0.036,1.799999884747139,0.1871498020638913,0.036
0.07200000000000001,1.799999745496977,0.1777883154440672,0.07200000000000001
0.108,1.799999287078122,0.1686313835480275,0.108
0.144,1.799997782626867,0.159681617405169,0.144
0.18,1.799992903225953,0.1509413543873283,0.18
0.216,1.799977428417385,0.1424122716898648,0.216
0.252,1.79993014370897,0.1340943181127903,0.252
0.288,1.799793520722041,0.1259831661494322,0.288
0.3240000000000001,1.799426854802028,0.1180650597296775,0.3240000000000001
0.3600000000000001,1.798520408784673,0.110307800925586,0.3600000000000001
0.3960000000000001,1.796445173377548,0.1026456988581831,0.3960000000000001
0.4320000000000002,1.792006349771021,0.09495714576035116,0.4320000000000002
0.4680000000000002,1.783157549537175,0.08705520834802422,0.4680000000000002
0.5040000000000002,1.766898161747051,0.0787718313794073,0.5040000000000002
0.5400000000000003,1.739432862006351,0.07019811867705419,0.5400000000000003
0.5760000000000003,1.696015045111661,0.06175343068920234,0.5760000000000003
0.6120000000000003,1.629016561739387,0.05384652839146506,0.6120000000000003
0.6480000000000004,1.517449707735792,0.04667669996115643,0.6480000000000004
0.6840000000000004,1.22258391444866,0.0402806675564539,0.6840000000000004
0.7200000000000004,1.074144065348531,0.03461643826433513,0.7200000000000004
0.7560000000000004,0.996106641242,0.02961370185669232,0.7560000000000004
0.7920000000000005,0.9306815421159103,0.02519893851909013,0.7920000000000005
0.8280000000000005,0.870249421388009,0.02130401421012224,0.8280000000000005
0.8640000000000005,0.8127318464028996,0.0178696470513804,0.8640000000000005
0.9000000000000006,0.7571939670450085,0.01484529524116195,0.9000000000000006
0.9360000000000006,0.7032442730931884,0.01218833926287715,0.9360000000000006
0.9720000000000006,0.6508125624543538,0.009863121434024985,0.9720000000000006
1.008000000000001,0.6000863120185965,0.007840108689523569,1.008000000000001
1.044000000000001,0.5515200211027182,0.006095222187786829,1.044000000000001
1.080000000000001,0.5058780746674999,0.004609236672216017,1.080000000000001
1.116000000000001,0.4642315141859215,0.003367006224216881,1.116000000000001
1.152000000000001,0.4276984679993557,0.002356103596911963,1.152000000000001
1.188000000000001,0.3967973337757882,0.001564372666802043,1.188000000000001
1.224000000000001,0.3710747142968148,0.0009761999540257193,1.224000000000001
1.260000000000001,0.3495730105461252,0.0005684126338539627,1.260000000000001
1.296000000000001,0.3313654563253997,0.0003083397228605307,1.296000000000001
1.332000000000001,0.3157166287744888,0.0001568186963193408,1.332000000000001
1.368000000000001,0.302075219663525,7.571146361665361e-05,1.368000000000001
1.404000000000001,0.2900379577751402,3.511503723634135e-05,1.404000000000001
1.440000000000001,0.2793120192202312,1.57414432504569e-05,1.440000000000001
1.476000000000001,0.2696816396375871,6.832666528744658e-06,1.476000000000001
1.512000000000001,0.2609830722410571,2.878163049217098e-06,1.512000000000001
1.548000000000001,0.2530881422851944,1.182579986257775e-06,1.548000000000001
1.584000000000001,0.2458939004129608,4.77560604748694e-07,1.584000000000001
1.620000000000001,0.2393159630922797,1.914528194215977e-07,1.620000000000001
1.656000000000001,0.2332840531587054,7.736130764474703e-08,1.656000000000001
1.692000000000001,0.2277388989375271,3.239146588267539e-08,1.692000000000001
1.728000000000001,0.2226299997018343,1.478780150731391e-08,1.728000000000001
1.764000000000001,0.2179139622689214,7.914761910067357e-09,1.764000000000001
1.8,0.2135532289794103,5.224520520081753e-09,1.8
