/Q X,/Q Y,/Q X,/Q Y,/VIN X,/VIN Y
0,1.799999922231583,0,1.799999944609367,0,0
0.036,1.799999875430323,0.036,1.799999914342007,0.036,0.036
0.07200000000000001,1.799999735977674,0.07200000000000001,1.799999815641222,0.07200000000000001,0.07200000000000001
0.108,1.799999277343058,0.108,1.799999490969584,0.108,0.108
0.144,1.799997772661498,0.144,1.7999984267157,0.144,0.144
0.18,1.799992893014284,0.18,1.799994981997481,0.18,0.18
0.216,1.7999774179417,0.216,1.799984095085425,0.216,0.216
0.252,1.799930132949391,0.252,1.799951015293265,0.252,0.252
0.288,1.799793509655627,0.288,1.799856215816332,0.288,0.288
0.3240000000000001,1.799426843400859,0.3240000000000001,1.799604419811433,0.3240000000000001,0.3240000000000001
0.3600000000000001,1.798520397011785,0.3600000000000001,1.798988785359224,0.3600000000000001,0.3600000000000001
0.3960000000000001,1.796445161178431,0.3960000000000001,1.797593609172311,0.3960000000000001,0.3960000000000001
0.4320000000000002,1.792006337055946,0.4320000000000002,1.79463675122064,0.4320000000000002,0.4320000000000002
0.4680000000000002,1.783157536146112,0.4680000000000002,1.788798244685465,0.4680000000000002,0.4680000000000002
0.5040000000000002,1.766898147382191,0.5040000000000002,1.778194177220672,0.5040000000000002,0.5040000000000002
0.5400000000000003,1.739432846068447,0.5400000000000003,1.760567548357993,0.5400000000000003,0.5400000000000003
0.5760000000000003,1.696015025825561,0.5760000000000003,1.733401549906018,0.5760000000000003,0.5760000000000003
0.6120000000000003,1.62901652115807,0.6120000000000003,1.69341715266959,0.6120000000000003,0.6120000000000003
0.6480000000000004,1.517447454199488,0.6480000000000004,1.634612112458188,0.6480000000000004,0.6480000000000004
0.6840000000000004,1.159519822366426,0.6840000000000004,1.539379870695707,0.6840000000000004,0.6840000000000004
0.7200000000000004,0.314429920711105,0.7200000000000004,1.225111590038809,0.7200000000000004,0.7200000000000004
0.7560000000000004,0.1366570684509743,0.7560000000000004,0.3664663674658637,0.7560000000000004,0.7560000000000004
0.7920000000000005,0.0933804743719872,0.7920000000000005,0.1586448536000778,0.7920000000000005,0.7920000000000005
0.8280000000000005,0.06878214363251546,0.8280000000000005,0.1077094222456353,0.8280000000000005,0.8280000000000005
0.8640000000000005,0.05214450757136353,0.8640000000000005,0.07874775883536501,0.8640000000000005,0.8640000000000005
0.9000000000000006,0.04000265759104413,0.9000000000000006,0.05907159467975519,0.9000000000000006,0.9000000000000006
0.9360000000000006,0.03077875452563012,0.9360000000000006,0.04468257899226535,0.9360000000000006,0.9360000000000006
0.9720000000000006,0.02358486917189042,0.9720000000000006,0.03373679778730119,0.9720000000000006,0.9720000000000006
1.008000000000001,0.01789233088605884,1.008000000000001,0.02523571153755207,1.008000000000001,1.008000000000001
1.044000000000001,0.01335780906503432,1.044000000000001,0.01856054236122999,1.044000000000001,1.044000000000001
1.080000000000001,0.009748288351410511,1.080000000000001,0.01331593656663121,1.080000000000001,1.080000000000001
1.116000000000001,0.006900269311057268,1.116000000000001,0.009233891865311082,1.116000000000001,1.116000000000001
1.152000000000001,0.004694802425359957,1.152000000000001,0.006124131022510365,1.152000000000001,1.152000000000001
1.188000000000001,0.003039587267280646,1.188000000000001,0.003840156661770964,1.188000000000001,1.188000000000001
1.224000000000001,0.001854096352048324,1.224000000000001,0.002252166142052376,1.224000000000001,1.224000000000001
1.260000000000001,0.001057530445986871,1.260000000000001,0.00122697519523536,1.260000000000001,1.260000000000001
1.296000000000001,0.0005629685106603022,1.296000000000001,0.0006217572382093486,1.296000000000001,1.296000000000001
1.332000000000001,0.0002814244486141272,1.332000000000001,0.0002963115589650887,1.332000000000001,1.332000000000001
1.368000000000001,0.0001337308625266561,1.368000000000001,0.0001349289549387566,1.368000000000001,1.368000000000001
1.404000000000001,6.112169389780545e-05,1.404000000000001,5.940561409022137e-05,1.404000000000001,1.404000000000001
1.440000000000001,2.703018906920936e-05,1.440000000000001,2.54007255526366e-05,1.440000000000001,1.440000000000001
1.476000000000001,1.158568297709192e-05,1.476000000000001,1.056316869875226e-05,1.476000000000001,1.476000000000001
1.512000000000001,4.823476272921583e-06,1.512000000000001,4.285850942199347e-06,1.512000000000001,1.512000000000001
1.548000000000001,1.960388100055937e-06,1.548000000000001,1.706317561372102e-06,1.548000000000001,1.548000000000001
1.584000000000001,7.836662952127085e-07,1.584000000000001,6.716900311068283e-07,1.584000000000001,1.584000000000001
1.620000000000001,3.112103965662965e-07,1.620000000000001,2.64112942010031e-07,1.620000000000001,1.620000000000001
1.656000000000001,1.246468131723699e-07,1.656000000000001,1.054917241615136e-07,1.656000000000001,1.656000000000001
1.692000000000001,5.176159427604753e-08,1.692000000000001,4.420656222234602e-08,1.692000000000001,1.692000000000001
1.728000000000001,2.344964108480967e-08,1.728000000000001,2.060036462735129e-08,1.728000000000001,1.728000000000001
1.764000000000001,1.246077153363267e-08,1.764000000000001,1.149257454377929e-08,1.764000000000001,1.764000000000001
1.8,8.170179619390254e-09,1.8,7.946332814629345e-09,1.8,1.8
