/Q X,/Q Y,VIN vs QB X,VIN vs QB Y,VIN vs QB X,VIN vs QB Y,/Q X,/Q Y
0,1.799432990266211,0.1634759353139005,0,0.1967130841863074,0,0,1.799999927418643
0.036,1.799455967535311,0.1557505902548881,0.036,0.1871498020638913,0.036,0.036,1.799999884747139
0.07200000000000001,1.799478857752489,0.1481471232634863,0.07200000000000001,0.1777883154440672,0.07200000000000001,0.07200000000000001,1.799999745496977
0.108,1.799501471421835,0.1406715339149145,0.108,0.1686313835480275,0.108,0.108,1.799999287078122
0.144,1.799523262049752,0.1333297072663532,0.144,0.159681617405169,0.144,0.144,1.799997782626867
0.18,1.799542554767781,0.1261273324304349,0.18,0.1509413543873283,0.18,0.18,1.799992903225953
0.216,1.799554252153152,0.1190696676184822,0.216,0.1424122716898648,0.216,0.216,1.799977428417385
0.252,1.799543564367866,0.1121609150340407,0.252,0.1340943181127903,0.252,0.252,1.79993014370897
0.288,1.79947091761454,0.1054027659594692,0.288,0.1259831661494322,0.288,0.288,1.799793520722041
0.3240000000000001,1.799240971051341,0.09879152935413994,0.3240000000000001,0.1180650597296775,0.3240000000000001,0.3240000000000001,1.799426854802028
0.3600000000000001,1.79864678564478,0.09231322126172439,0.3600000000000001,0.110307800925586,0.3600000000000001,0.3600000000000001,1.798520408784673
0.3960000000000001,1.797272502609908,0.0859355619299397,0.3960000000000001,0.1026456988581831,0.3960000000000001,0.3960000000000001,1.796445173377548
0.4320000000000002,1.794335736796874,0.07959712212951024,0.4320000000000002,0.09495714576035116,0.4320000000000002,0.4320000000000002,1.792006349771021
0.4680000000000002,1.788516179125852,0.0732085100192104,0.4680000000000002,0.08705520834802422,0.4680000000000002,0.4680000000000002,1.783157549537175
0.5040000000000002,1.777929510501701,0.06670938434331811,0.5040000000000002,0.0787718313794073,0.5040000000000002,0.5040000000000002,1.766898161747051
0.5400000000000003,1.760318165783024,0.06017188015149704,0.5400000000000003,0.07019811867705419,0.5400000000000003,0.5400000000000003,1.739432862006351
0.5760000000000003,1.733164193265378,0.0537839398206814,0.5760000000000003,0.06175343068920234,0.5760000000000003,0.5760000000000003,1.696015045111661
0.6120000000000003,1.693185982616251,0.04771923007611275,0.6120000000000003,0.05384652839146506,0.6120000000000003,0.6120000000000003,1.629016561739387
0.6480000000000004,1.634374332059903,0.04207648126639661,0.6480000000000004,0.04667669996115643,0.6480000000000004,0.6480000000000004,1.517449707735792
0.6840000000000004,1.539088548494189,0.03689070885080612,0.6840000000000004,0.04028066755652297,0.6840000000000004,0.6840000000000004,1.22301003604834
0.7200000000000004,1.245045357717157,0.03215942859962344,0.7200000000000004,0.03461643826433516,0.7200000000000004,0.7200000000000004,1.074143548237134
0.7560000000000004,1.074095604841994,0.02786609117488693,0.7560000000000004,0.02961370185669225,0.7560000000000004,0.7560000000000004,0.9961066498197456
0.7920000000000005,1.007434376912757,0.02397951815129769,0.7920000000000005,0.02519893851909014,0.7920000000000005,0.7920000000000005,0.9306815421026706
0.8280000000000005,0.9548133211812625,0.02047086622572566,0.8280000000000005,0.02130401421012225,0.8280000000000005,0.8280000000000005,0.8702494213880134
0.8640000000000005,0.9083209178014482,0.01731326336606829,0.8640000000000005,0.0178696470513804,0.8640000000000005,0.8640000000000005,0.8127318464028996
0.9000000000000006,0.8653672510706717,0.01448203870581387,0.9000000000000006,0.01484529524116196,0.9000000000000006,0.9000000000000006,0.7571939670450085
0.9360000000000006,0.8248642523615929,0.01195524811866539,0.9360000000000006,0.01218833926287711,0.9360000000000006,0.9360000000000006,0.7032442730931884
0.9720000000000006,0.7862460765451471,0.009713785523776861,0.9720000000000006,0.00986312143402502,0.9720000000000006,0.9720000000000006,0.6508125624543538
1.008000000000001,0.7492058710269169,0.007741521359197396,1.008000000000001,0.007840108689523515,1.008000000000001,1.008000000000001,0.6000863120185965
1.044000000000001,0.7135879768137887,0.006025452024500453,1.044000000000001,0.006095222187786802,1.044000000000001,1.044000000000001,0.5515200211027182
1.080000000000001,0.679339780349632,0.004555743842237861,1.080000000000001,0.00460923667221599,1.080000000000001,1.080000000000001,0.5058780746674999
1.116000000000001,0.6464886397141888,0.003325346852294678,1.116000000000001,0.003367006224216882,1.116000000000001,1.116000000000001,0.4642315141859215
1.152000000000001,0.6151286074167923,0.002328598254312295,1.152000000000001,0.002356103596911964,1.152000000000001,1.152000000000001,0.4276984679993557
1.188000000000001,0.5854078920888069,0.00155813370985622,1.188000000000001,0.001564372666802044,1.188000000000001,1.188000000000001,0.3967973337757882
1.224000000000001,0.5575106640465664,0.001000003042730505,1.224000000000001,0.0009761999540257202,1.224000000000001,1.224000000000001,0.3710747142968148
1.260000000000001,0.5316287069130528,0.0006287019407543998,1.260000000000001,0.0005684126338539636,1.260000000000001,1.260000000000001,0.3495730105461252
1.296000000000001,0.5079188692353231,0.000406077532515523,1.296000000000001,0.0003083397228605316,1.296000000000001,1.296000000000001,0.3313654563253997
1.332000000000001,0.4864472499911406,0.0002873402173415903,1.332000000000001,0.0001568186963193417,1.332000000000001,1.332000000000001,0.3157166287744888
1.368000000000001,0.4671470155815847,0.0002316684217356912,1.368000000000001,7.571146361665447e-05,1.368000000000001,1.368000000000001,0.302075219663525
